File: stress_test
Build ID: 498919aff001d8366249403a2544fba2d833084f
Type: cpu
Time: 2026-09-22 01:13:11 CEST
Duration: 184.29s, Total samples = 294.71s (159.91%)
Showing nodes accounting for 190.96s, 64.80% of 294.71s total
Dropped 1742 nodes (cum <= 1.47s)
      flat  flat%   sum%        cum   cum%
     0.29s 0.098% 58.73%      1.90s  0.64%  runtime.convT64
     0.29s 0.098% 58.83%      4.30s  1.46%  runtime.makeslice
     0.28s 0.095% 58.92%      3.40s  1.15%  fdb.dev/pkg/fdbgo/client.(*rywCache).atomic
     0.28s 0.095% 59.02%      1.75s  0.59%  github.com/antlr4-go/antlr/v4.(*LexerATNSimulator).execATN
     0.28s 0.095% 59.11%      3.34s  1.13%  runtime.(*mcache).refill
     0.28s 0.095% 59.21%      1.49s  0.51%  sort.insertionSort_func
     0.27s 0.092% 59.30%      6.03s  2.05%  fdb.dev/pkg/relational/core/embedded.(*EmbeddedConnection).buildInsertValuesArray
     0.27s 0.092% 59.39%      3.16s  1.07%  runtime.runqsteal
     0.26s 0.088% 59.48%      1.56s  0.53%  github.com/antlr4-go/antlr/v4.(*ParserATNSimulator).AdaptivePredict
     0.26s 0.088% 59.57%      2.18s  0.74%  google.golang.org/protobuf/types/dynamicpb.(*Message).Range
     0.26s 0.088% 59.66%         2s  0.68%  internal/runtime/maps.(*Map).Delete
     0.26s 0.088% 59.74%     12.07s  4.10%  runtime.futexsleep
     0.25s 0.085% 59.83%      7.38s  2.50%  fdb.dev/pkg/fdbgo/client.(*PendingGet).resolve
     0.25s 0.085% 59.91%      6.62s  2.25%  fdb.dev/pkg/fdbgo/client.(*Transaction).opContext.func4
     0.22s 0.075% 59.99%     18.36s  6.23%  fdb.dev/pkg/recordlayer.(*FDBRecordStore).updateOneIndex
     0.22s 0.075% 60.06%      4.72s  1.60%  fdb.dev/pkg/recordlayer/query/executor.protoToPositional
     0.22s 0.075% 60.14%      3.89s  1.32%  runtime.(*mcache).nextFree
     0.22s 0.075% 60.21%      1.63s  0.55%  runtime.isSystemGoroutine
     0.22s 0.075% 60.29%      9.48s  3.22%  runtime.wakep
     0.22s 0.075% 60.36%     14.61s  4.96%  sync.(*Once).doSlow
     0.21s 0.071% 60.43%      4.73s  1.60%  context.AfterFunc.func1
     0.21s 0.071% 60.50%      2.86s  0.97%  fdb.dev/pkg/fdbgo/client.(*rywCache).set
     0.21s 0.071% 60.57%     10.09s  3.42%  internal/poll.(*FD).Read
     0.21s 0.071% 60.65%     10.53s  3.57%  io.ReadAtLeast
     0.20s 0.068% 60.71%      2.63s  0.89%  fdb.dev/pkg/fdbgo/client.(*PendingGet).readReply
     0.20s 0.068% 60.78%     16.69s  5.66%  fdb.dev/pkg/fdbgo/client.(*Transaction).GetReadVersion
     0.20s 0.068% 60.85%      2.79s  0.95%  google.golang.org/protobuf/proto.UnmarshalOptions.unmarshalSingular
     0.20s 0.068% 60.92%     28.70s  9.74%  syscall.RawSyscall6
     0.19s 0.064% 60.98%      7.55s  2.56%  fdb.dev/pkg/fdbgo/fdb.newFutureInt64
     0.19s 0.064% 61.05%     13.71s  4.65%  fdb.dev/pkg/fdbgo/transport.(*Conn).readLoop
     0.19s 0.064% 61.11%      7.06s  2.40%  fdb.dev/pkg/relational/core/parser/gen.(*RelationalParser).expressionAtom
     0.18s 0.061% 61.17%      1.90s  0.64%  fdb.dev/pkg/fdbgo/fdb.(*futureInt64).Get
     0.18s 0.061% 61.23%      2.69s  0.91%  fdb.dev/pkg/fdbgo/transport.(*Conn).writeContext
     0.18s 0.061% 61.29%      6.53s  2.22%  fdb.dev/pkg/recordlayer.(*FDBRecordStore).deserializeAndDiscover
     0.18s 0.061% 61.36%      8.95s  3.04%  fdb.dev/pkg/recordlayer.(*keyValueCursor).OnNext
     0.18s 0.061% 61.42%     16.18s  5.49%  fdb.dev/pkg/recordlayer.(*mapResultCursor[go.shape.struct { Positional *fdb.dev/pkg/recordlayer/query/executor.PositionalRow; Record *fdb.dev/pkg/recordlayer.FDBStoredRecord[google.golang.org/protobuf/reflect/protoreflect.ProtoMessage]; PrimaryKey fdb.dev/pkg/fdbgo/fdb/tuple.Tuple },go.shape.struct { Positional *fdb.dev/pkg/recordlayer/query/executor.PositionalRow; Record *fdb.dev/pkg/recordlayer.FDBStoredRecord[google.golang.org/protobuf/reflect/protoreflect.ProtoMessage]; PrimaryKey fdb.dev/pkg/fdbgo/fdb/tuple.Tuple }]).OnNext
     0.18s 0.061% 61.48%     17.40s  5.90%  fdb.dev/pkg/recordlayer/query/executor.(*RecordLayerResultSet).Next
     0.18s 0.061% 61.54%      3.43s  1.16%  google.golang.org/protobuf/proto.UnmarshalOptions.unmarshalMessageSlow
     0.17s 0.058% 61.60%      2.41s  0.82%  context.removeChild
     0.17s 0.058% 61.65%      2.87s  0.97%  fdb.dev/pkg/fdbgo/transport.(*Conn).enqueueOwned
     0.17s 0.058% 61.71%     10.01s  3.40%  fdb.dev/pkg/relational/core/parser/gen.(*RelationalParser).expression
     0.16s 0.054% 61.77%      2.88s  0.98%  fdb.dev/pkg/fdbgo/client.buildGetValueRequest
     0.16s 0.054% 61.82%      8.45s  2.87%  fdb.dev/pkg/fdbgo/fdb.Transaction.GetReadVersion
     0.16s 0.054% 61.87%      1.59s  0.54%  fdb.dev/pkg/recordlayer.(*GroupingKeyExpression).EvaluateFlat
     0.16s 0.054% 61.93%      2.81s  0.95%  google.golang.org/protobuf/types/dynamicpb.(*Message).Set
     0.16s 0.054% 61.98%      3.11s  1.06%  runtime.chansend
     0.16s 0.054% 62.04%      8.04s  2.73%  runtime.notewakeup
     0.15s 0.051% 62.09%      2.85s  0.97%  fdb.dev/pkg/fdbgo/client.(*Transaction).stateSet
     0.15s 0.051% 62.14%      4.35s  1.48%  internal/runtime/syscall/linux.EpollWait
     0.14s 0.048% 62.19%      2.18s  0.74%  fdb.dev/pkg/fdbgo/fdb.Transaction.Set
     0.14s 0.048% 62.23%      4.22s  1.43%  github.com/antlr4-go/antlr/v4.(*CommonTokenStream).Sync
     0.14s 0.048% 62.28%      3.09s  1.05%  google.golang.org/protobuf/internal/order.RangeFields
     0.14s 0.048% 62.33%      5.14s  1.74%  runtime.newproc
     0.14s 0.048% 62.38%     13.73s  4.66%  runtime.stopm
     0.14s 0.048% 62.42%      9.13s  3.10%  syscall.Read (inline)
     0.14s 0.048% 62.47%     29.92s 10.15%  syscall.Syscall
     0.13s 0.044% 62.52%      3.34s  1.13%  fdb.dev/pkg/fdbgo/client.(*PendingGet).completeLocked
     0.13s 0.044% 62.56%     11.76s  3.99%  fdb.dev/pkg/fdbgo/fdb.(*pendingFutureByteSlice).resolve
     0.13s 0.044% 62.60%     14.08s  4.78%  fdb.dev/pkg/fdbgo/fdb.Transaction.Get
     0.13s 0.044% 62.65%      4.43s  1.50%  fdb.dev/pkg/relational/core/parser/gen.(*RelationalParser).Constant
     0.13s 0.044% 62.69%      2.17s  0.74%  google.golang.org/protobuf/reflect/protoreflect.Value.String
     0.13s 0.044% 62.74%      1.72s  0.58%  runtime.chanrecv1
     0.12s 0.041% 62.78%      1.79s  0.61%  fdb.dev/pkg/fdbgo/client.(*rywCache).materializeCommit
     0.12s 0.041% 62.82%      2.73s  0.93%  fdb.dev/pkg/fdbgo/transport.(*Conn).SendFrameDeferredContext
     0.12s 0.041% 62.86%      7.97s  2.70%  fdb.dev/pkg/recordlayer.(*keyValueCursor).readNextRecord
     0.12s 0.041% 62.90%      3.18s  1.08%  fdb.dev/pkg/recordlayer/query/executor.(*aggregateCursor).OnNext
     0.12s 0.041% 62.94%     16.40s  5.56%  fdb.dev/pkg/recordlayer/query/executor.(*errCheckCursor).OnNext
     0.12s 0.041% 62.98%     15.55s  5.28%  fdb.dev/pkg/relational/core/parser/gen.(*RelationalParser).RecordConstructorForInsert
     0.12s 0.041% 63.02%      4.08s  1.38%  github.com/antlr4-go/antlr/v4.(*CommonTokenStream).fetch
     0.12s 0.041% 63.06%      2.16s  0.73%  google.golang.org/protobuf/proto.checkInitializedSlow
     0.11s 0.037% 63.10%      2.83s  0.96%  fdb.dev/pkg/fdbgo/client.(*Transaction).stateAtomic
     0.11s 0.037% 63.14%      3.81s  1.29%  fdb.dev/pkg/fdbgo/client.coalesceCommitMutations
     0.11s 0.037% 63.17%      4.61s  1.56%  fdb.dev/pkg/recordlayer.serializeUnion
     0.11s 0.037% 63.21%      1.72s  0.58%  fdb.dev/pkg/recordlayer/query/executor.buildInsertRecord
     0.11s 0.037% 63.25%      7.92s  2.69%  runtime.futexwakeup
     0.11s 0.037% 63.29%      3.54s  1.20%  runtime.send
     0.10s 0.034% 63.32%      3.86s  1.31%  context.AfterFunc
     0.10s 0.034% 63.35%      2.30s  0.78%  context.WithCancelCause
     0.10s 0.034% 63.39%      1.50s  0.51%  fdb.dev/pkg/fdbgo/wire/types.(*GetValueRequest).writeToBuffer
     0.10s 0.034% 63.42%      1.85s  0.63%  fdb.dev/pkg/recordlayer.saveWithSplit
     0.10s 0.034% 63.46%      1.61s  0.55%  fmt.Sprint
     0.10s 0.034% 63.49%      2.14s  0.73%  github.com/antlr4-go/antlr/v4.(*LexerATNSimulator).Match
     0.10s 0.034% 63.52%      3.64s  1.24%  google.golang.org/protobuf/proto.MarshalOptions.marshalMessageSlow
     0.10s 0.034% 63.56%      2.71s  0.92%  sync.(*Mutex).Lock (inline)
     0.09s 0.031% 63.59%      2.59s  0.88%  fdb.dev/pkg/fdbgo/wire/types.(*GetValueRequest).MarshalFDBPooled
